"value","category"
30.0833333333333,"Vector"
25.0967741935484,"Tabular"
30.4444444444444,"Onestep"
21.6875,"Vector"
23,"Tabular"
21,"Onestep"
24.75,"Vector"
21.9285714285714,"Tabular"
22.4137931034483,"Onestep"
23.1666666666667,"Vector"
20,"Tabular"
22.9375,"Onestep"
21.0526315789474,"Vector"
21.7727272727273,"Tabular"
19.8125,"Onestep"
23.5263157894737,"Vector"
19.6,"Tabular"
22.6,"Onestep"
24.25,"Vector"
27.125,"Tabular"
22.3214285714286,"Onestep"
19.2272727272727,"Vector"
24.1764705882353,"Tabular"
27.0952380952381,"Onestep"
20.3333333333333,"Vector"
16.4705882352941,"Tabular"
26.4666666666667,"Onestep"
25.5510204081633,"Vector"
21.9090909090909,"Tabular"
24.8636363636364,"Onestep"
25.8571428571429,"Vector"
22.7878787878788,"Tabular"
22.8947368421053,"Onestep"
20.8529411764706,"Vector"
21.4285714285714,"Tabular"
21.1071428571429,"Onestep"
21.4390243902439,"Vector"
21.5714285714286,"Tabular"
25.9714285714286,"Onestep"
25.7692307692308,"Vector"
18.5,"Tabular"
20.56,"Onestep"
22.1764705882353,"Vector"
17.05,"Tabular"
28.48,"Onestep"
24.5789473684211,"Vector"
26.9259259259259,"Tabular"
23.64,"Onestep"
21.6111111111111,"Vector"
20.8,"Tabular"
22.7142857142857,"Onestep"
23.2051282051282,"Vector"
21,"Tabular"
25.4583333333333,"Onestep"
21.5454545454545,"Vector"
24.5,"Tabular"
22.5,"Onestep"
24.2285714285714,"Vector"
20.3191489361702,"Tabular"
27.25,"Onestep"
